x1i10hfl href,x168nmei src,x193iq5w,x1lliihq,x1lliihq (2),x1lliihq (3),x193iq5w (2)
https://www.facebook.com/marketplace/item/2747514868775269/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/495351679_3588772138095232_5597948096230680656_n.jpg?stp=c0.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=NMkVOULPISMQ7kNvwGCMfun&_nc_oc=AdnBLWR-lt3hg-J9VfiWIg1HE1AP7BXu-6SicB2L30ZrXTCWzIVazgxc4s0DxyAtsqA&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfIDsYtpU17XHqnLL6bPFH4lcFql6lA4BUpNAceoTFfurg&oe=682CA357,"CA$4,500",2010 Toyota matrix XR Sport Wagon 4D,"Brampton, ON",260K miles,
https://www.facebook.com/marketplace/item/1370394544184248/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/498619982_10229597613303913_6766347703430454144_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ENkQGPmVWisQ7kNvwH1Vv_C&_nc_oc=AdlxnRfEOAsHpMvgaBxkP5egoj8_nHjv8Ic14QYvLNVhzSgMzHxxuaxuYXLyTPv2In0&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKEKFFZMh5RbTfq4RZRiaax_ZzEIQBxtchEEk4bXlCjMg&oe=682C84BE,"CA$9,500",2012 Honda civic,"Whitby, ON",139K km,
https://www.facebook.com/marketplace/item/1776281282952310/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497490722_122163187106549050_7569988739295156590_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=aKQCmVX4pGUQ7kNvwHE2bF2&_nc_oc=AdmKiY8wyG_G4HXDcljGTWASQx8oOXbJ-WbdXz8XvDuoJ41s4bAoa9pgFDB1ktPiEJw&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKt4FdcSCeeHCErkyYAZwHZC7vB6irghcJwVl7_pluNVQ&oe=682C8DA1,Free,2024 circooter trades or offer,"Burlington, ON",750 km,"CA$1,100"
https://www.facebook.com/marketplace/item/469491465790652/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/480300459_1332630544751730_3581223316044948853_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=o5bXKMEMrSAQ7kNvwHjt3aE&_nc_oc=AdmApNhG7L4hMHeYXZpWI6HBycqgQ9C_CWdr3PhKQ0OlYGHpdxzPdK0_VBgDBiA9vlM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKfyn61UjBQ1HnhoVHtUzzfl7Uua542F74ZUDMLVgsvbA&oe=682C90F1,"CA$8,900",2004 Boeing 747 airplane engine cowl incredible desk,"Toronto, ON",152K km,
https://www.facebook.com/marketplace/item/1044604210936796/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497752693_122187445664296374_3701411593227898786_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Wh5ftnjoD0oQ7kNvwHzhALV&_nc_oc=AdlpbWeY-k1yyfWl5pF4D-_pX1Va5q0cdqtiI8MVukmvBgrUZEKI4-Zp0czTBcNGAsk&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJC-IMt3c_QcF0SFA026kbVZR8e_QFY9zGAnM6Wf1vsKA&oe=682C86D2,"CA$5,500",2013 Mazda mazda3,"Kitchener, ON",14K km,
https://www.facebook.com/marketplace/item/1349948976071599/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/497643789_1205539811353878_6055394917064937421_n.jpg?stp=c0.0.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=noDB260NqmEQ7kNvwHGdduC&_nc_oc=AdkEgcqkKuJvsctuYGS8HYJolxZR7XZSexqO6p3LiXHDgjuzONgMoB1E3p8AfiVIAG4&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfIcwp7-6aUENukKtzH5jg_fQlfRv0CzcRfIqsbausTKkQ&oe=682CA393,"$3,750",2010 Suzuki sx4 hatchback awd top trim,"Pickering, ON",172K km,
https://www.facebook.com/marketplace/item/1014928526969057/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495740161_707195791712032_1345904661655755165_n.jpg?stp=c200.0.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=5vFdR99FICAQ7kNvwFdYsLc&_nc_oc=AdnzxvPlc6613dNlmYalHCO5H890qv0O55y3OAzrdZgNSIU4ONsE-Pp2_LPnjOf4KZM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJ3Nl82Y7674rhI0E4iyR14SeABth1KU6J6ZXpyloFsQw&oe=682C73E0,CA$153,2021 Tesla model 3 long range awd autopilot,"Toronto, ON",100K km,
https://www.facebook.com/marketplace/item/1750956292473019/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/496223924_1406047554052647_2774040872825650653_n.jpg?stp=c0.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=PbKuE9xYStEQ7kNvwGZAEG1&_nc_oc=Adkv6VZ3EhnZhjN9mlChNUUpnb8EnUgjWIqUH-bLDudfxqHrOi_JemUVbnRqMuq2orc&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJ93AQ1VukbzAU82MdHCTmkAHe6gjbZ5ueR8Ejx2ZrGRw&oe=682C72B8,"CA$13,998",2017 Honda civic ex/sunroof/carplay/heated seats/blind spot cam/bluetooth/clean,"Mississauga, ON",147K km,
https://www.facebook.com/marketplace/item/637148475972906/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/497838325_668224312849874_7526400421889912134_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=b_DjW6_6kSAQ7kNvwGNNsFf&_nc_oc=AdlcLaswizUnfMBymwuZ3sjxSX6toNBtzJlhylUJT7SAuh4fNbHRfWKHj6eocBCgqxw&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKKWSYTlBqeEXP7-5nJjz7Ay1gk7I2HN_7pYbNhU4D2PA&oe=682C75B7,"CA$14,990","2016 Mazda 3 fun manual car, clean carfax, low kms","St Catharines, ON",103K km,
https://www.facebook.com/marketplace/item/1012159457755976/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/491774174_519521411229075_8054378468126376985_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=-uR7uUeRUIUQ7kNvwEOHsp9&_nc_oc=AdkUoB5lwaI5dqnrrjcGhd-OVfUOAJTIgdeIo7VU-TConbjnpERvHkAdJIDGxhnE2Oc&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKhv_DAulLFQ_3uk_L0Q69qJGntLNpkDkYtoJqC1H-ndA&oe=682C878D,"CA$18,888",2020 Toyota camry le auto,"Mississauga, ON",89K km,
https://www.facebook.com/marketplace/item/1847002249430481/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497805987_4011371172411891_1519069020416894231_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=LohvwWJ-E8QQ7kNvwHlSrpL&_nc_oc=AdnXz8kXrCTuc2Z81QBN-o42TQko2WzGoUmXTfmENbZS5u7cone-G7kcJbObjNrHLkA&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfIQjosghuPxhruf6X0_OFP-xoZCOsS8PiAH9VX3z8z2Qg&oe=682C79A7,CA$170,2022 Toyota corolla,"King, ON",68K km,
https://www.facebook.com/marketplace/item/995239132591120/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/497162844_1230289288553822_1766386970467579414_n.jpg?stp=c1.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=HZmPJdr4xd4Q7kNvwHYM5aR&_nc_oc=AdnIkw_uLAgZBNzXm0X4BAxQdLwP7jNDF0njbBp5as35QF9l0F3BCtMMjU4UC5JI1bs&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJwfUy6yqOX07vUhxuJ2dS7YjfGrZHIKoKpCvgpjHx-AA&oe=682C889A,"CA$7,000",2015 Ford focus sedan titanium,"Vaughan, ON",124K km,
https://www.facebook.com/marketplace/item/1001136215556678/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495771586_670048555819962_2132767306665931294_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ml1ZhG_PYfYQ7kNvwGdJlPM&_nc_oc=Adn5MH51-_5GwcJbMLLafcRJpDpq-qqLpuwB1ZBSs1TahgBGaLdxmI6moiCiLD7r284&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJxx0VLvr7OxiJwaQ1Cf9PssMGTRoYNeQ65nSrUkAjIvQ&oe=682C7C14,"CA$3,500",2010 Volkswagen jetta,"Innisfil, ON",232K km,
https://www.facebook.com/marketplace/item/2946510198856870/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/497838622_674899498854049_5828775687557710863_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=ToWRjQajxioQ7kNvwGA4ATq&_nc_oc=AdmwvpIVn2Hcw5G6ryrMQ5gMFdLDw_0o7XjPM5Gidjca_GdjJhDwuncmJfxhNvBi19M&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfK3wedivhDyxVygkLmj8-wfcTVlljiA1KJEwrgMkAI8OA&oe=682C87FE,"CA$7,700",2018 Volkswagen golf sportwagen s 1.8l manual wagon| one onwer| backup camera| financing available.,"Mississauga, ON",194K km,
https://www.facebook.com/marketplace/item/1351138202928489/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/497848485_3932979936968751_3264823157199719262_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=f5nLL6wGoeEQ7kNvwFDNVw5&_nc_oc=AdnRebtg19hBi9X3n7yW79jIAQlOy6jxF7ymaG5Re11TrEXx9b2lRKLW31Tcjsazw-U&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=0qEUuGKOb80lyez4OGsCxA&oh=00_AfKyV_Igi_MFSg9DUO0lonlbcKncog-9Z1phGmKCQ-hTXw&oe=682C99F2,"CA$7,950",2013 Honda civic,"London, ON",206K km,
https://www.facebook.com/marketplace/item/993739702514250/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/496959327_1743169522979871_6807389048271666219_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=OK8ie34SOQgQ7kNvwHpBj98&_nc_oc=Adm3k_T0I6IcKNUNBMyjAkR83HeMsRczJq7UkT_U29Z0HHdCZI1dKD2K7sw_QITuvJQ&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=0qEUuGKOb80lyez4OGsCxA&oh=00_AfJYRvvj-NkLYBVCre_Paofi85_czEps2yq7EOTglr4_sQ&oe=682C8746,"CA$17,500",2015 Honda cr-z,"St Catharines, ON",105K km,"CA$19,500"
https://www.facebook.com/marketplace/item/2013733252486345/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496970983_2964344090391850_3404460383849364428_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=iaic7T7e1bgQ7kNvwGLLHEH&_nc_oc=Adl9j_pcpEL9UjZa7bqlra8jI43rnpv1cRsnYpHaqpsy8MSgZ5PCh9vsOQ_Z1kICaF8&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=0qEUuGKOb80lyez4OGsCxA&oh=00_AfLpu5h3UHZdEFeqlinV7RpxJpvTT_6x7ZZ8S2jApgqETA&oe=682CA144,"CA$7,200",2013 Hyundai sonata,"Mississauga, ON",178K km,
https://www.facebook.com/marketplace/item/1617212405664121/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497830739_10229596869485318_7955305865343819044_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=uwJoneggliUQ7kNvwHIfnsO&_nc_oc=Adnd4u5JgORBI0q78WWdVPAd4-HecPyVCZ-NnvXEbQL36--yn4Vg91pJpoNOG0mnU0o&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=0qEUuGKOb80lyez4OGsCxA&oh=00_AfK3r6IV8v8l8sB4k0ToeYPuUJoiQtWHPNPq-E9Dmxeg0A&oe=682C89C8,"CA$4,999",2007 Toyota matrix,"Whitby, ON",239K km,
https://www.facebook.com/marketplace/item/2407585056281848/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497623370_122161291484467302_5669891338601664907_n.jpg?stp=c0.231.900.900a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=946e27&_nc_ohc=LRg06h6XjjgQ7kNvwFdhffO&_nc_oc=Adn3jIvW2Xbo6dn1WmI4Ck8LBe2BTpIwAZK_NxBjqfJ8lu18ds0nzUVSYc6cPHdo2bM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=0qEUuGKOb80lyez4OGsCxA&oh=00_AfKJk-lQAygbF6EvYzjNXKw8oyFhEVSFrx5Wh9YgHpkw7A&oe=682C870D,"CA$7,400",2012 Toyota yaris,"Toronto, ON",165K km,
